# game_id, attempts_times, most_mistake_stage, mistakes_per_stage, stages_completed, time_taken, is_solved
1,2,[2],"[0, 1, 0, 0, 0]",5,78,True
2,2,[5],"[0, 0, 0, 0, 2]",5,110,True
3,3,[4],"[0, 1, 0, 2, 0]",5,102,True
4,1,[],"[0, 0, 0, 0, 0]",5,57,True
5,4,[2],"[1, 2, 0, 0, 0]",1,37,False
6,4,[5],"[0, 0, 0, 1, 2]",4,48,False
7,1,[],"[0, 0, 0, 0, 0]",5,98,True
8,2,[4],"[0, 0, 0, 1, 0]",5,128,True
9,4,[2],"[0, 2, 0, 1, 0]",3,33,False
10,2,[4],"[0, 0, 0, 1, 0]",5,102,True
11,4,[5],"[0, 0, 0, 1, 2]",4,169,False
12,1,[],"[0, 0, 0, 0, 0]",5,57,True
13,1,[],"[0, 0, 0, 0, 0]",5,56,True
14,1,[],"[0, 0, 0, 0, 0]",5,63,True
15,3,"[1, 5]","[1, 0, 0, 0, 1]",5,96,True
16,1,[],"[0, 0, 0, 0, 0]",5,53,True
17,1,[],"[0, 0, 0, 0, 0]",5,65,True
18,3,"[2, 5]","[0, 1, 0, 0, 1]",5,98,True
19,1,[],"[0, 0, 0, 0, 0]",5,59,True
20,1,[],"[0, 0, 0, 0, 0]",5,31,True
21,3,"[2, 3]","[0, 1, 1, 0, 0]",5,71,True
22,2,[4],"[0, 0, 0, 1, 0]",5,113,True
23,3,"[4, 5]","[0, 0, 0, 1, 1]",4,180,False
24,2,[5],"[0, 0, 0, 0, 1]",5,88,True
25,4,[5],"[0, 0, 0, 1, 2]",4,90,False
26,4,[5],"[0, 0, 0, 0, 3]",4,50,False
27,1,[],"[0, 0, 0, 0, 0]",5,58,True
28,2,[1],"[1, 0, 0, 0, 0]",5,57,True
29,1,[],"[0, 0, 0, 0, 0]",5,62,True
30,1,[],"[0, 0, 0, 0, 0]",5,82,True
31,3,"[3, 5]","[0, 0, 1, 0, 1]",5,86,True
32,4,[5],"[0, 1, 0, 0, 2]",4,71,False
