# game_id, attempts_times, wires_cut, cut_colors, wire_num, time_taken, is_solved
1,1,[0],['blue'],4,18,True
2,1,[2],['blue'],3,10,True
3,1,[2],['blue'],3,10,True
4,1,[0],['blue'],5,23,True
5,0,[],[],3,,False
6,0,[],[],5,,False
7,2,"[2, 1]","['black', 'white']",3,9,True
8,1,[5],['white'],6,33,True
9,0,[],[],3,,False
10,2,"[4, 3]","['yellow', 'white']",6,28,True
11,0,[],[],4,,False
12,1,[3],['red'],5,11,True
13,2,"[4, 3]","['white', 'white']",6,18,True
14,1,[1],['black'],3,7,True
15,1,[0],['yellow'],4,11,True
16,1,[2],['red'],6,15,True
17,1,[1],['blue'],3,6,True
18,1,[0],['white'],4,9,True
19,1,[0],['red'],4,17,True
20,2,"[2, 1]","['red', 'white']",5,28,True
21,1,[3],['yellow'],6,27,True
22,1,[3],['blue'],4,27,True
23,0,[],[],4,,False
24,1,[0],['yellow'],5,10,True
25,0,[],[],4,,False
26,0,[],[],3,,False
27,1,[2],['blue'],6,20,True
28,1,[0],['yellow'],5,12,True
29,1,[1],['yellow'],3,8,True
30,2,"[4, 3]","['yellow', 'black']",5,16,True
31,1,[3],['blue'],4,14,True
32,0,[],[],4,,False
